occupation,count,corrected_occupation,change_category,unknown_words,suggested_occupation
Agricultural Labourerer,10,Agricultural Labourerer,UNCHANGED,Labourerer,Agricultural Labourer
Attendin School,10,Attendin School,UNCHANGED,Attendin,Attending School
Attending Scholl,10,Attending Scholl,UNCHANGED,Scholl,Attending School
Attendng School,10,Attendng School,UNCHANGED,Attendng,Attending School
Ceneral Servant,10,Ceneral Servant,UNCHANGED,Ceneral,General Servant
Cigarett Maker,10,Cigarett Maker,UNCHANGED,Cigarett,Cigarette Maker
Clerk Comercial,10,Clerk Comercial,UNCHANGED,Comercial,Clerk Commercial
Coachman Domestic Svt,10,Coachman Domestic Svt,STANDARD,Svt,Coachman Domestic St
Cochman Domestic Servant,10,Cochman Domestic Servant,UNCHANGED,Cochman,Coachman Domestic Servant
Embroideror,10,Embroideror,UNCHANGED,Embroideror,Embroiderer
Failor,10,Failor,UNCHANGED,Failor,Tailor
Famer Servant,10,Famer Servant,UNCHANGED,Famer,Farmer Servant
Farm Laboror,10,Farm Laboror,UNCHANGED,Laboror,Farm Labourer
Farm Lauborer,10,Farm Lauborer,UNCHANGED,Lauborer,Farm Labourer
Farme's Wife,10,Farme's Wife,UNCHANGED,Farme's,Farmer's Wife
Farmeer,10,Farmeer,UNCHANGED,Farmeer,Farmer
Farmer's Dughter,10,Farmer's Dughter,UNCHANGED,Dughter,Farmer's Daughter
Farmr,10,Farmr,UNCHANGED,Farmr,Farmer
General Laboruer,10,General Laboruer,UNCHANGED,Laboruer,General Labourer
Housekeepr,10,Housekeepr,UNCHANGED,Housekeepr,Housekeeper
Income from Dividents,10,Income from Dividents,UNCHANGED,Dividents,Income from Dividends
Labour Agrl,10,Labour Agrl,UNCHANGED,Agrl,Labour Agr
Linen Spiner,10,Linen Spiner,UNCHANGED,Spiner,Linen Spinner
Linen Weavor,10,Linen Weavor,UNCHANGED,Weavor,Linen Weaver
Mercheant Sailor,10,Mercheant Sailor,UNCHANGED,Mercheant,Merchant Sailor
Schlolar,10,Schlolar,UNCHANGED,Schlolar,Scholar
Scholarr,10,Scholarr,UNCHANGED,Scholarr,Scholar
Schorar,10,Schorar,UNCHANGED,Schorar,Scholar
Shop Assistent,10,Shop Assistent,UNCHANGED,Assistent,Shop Assistant
Agricultal Labourer,9,Agricultal Labourer,UNCHANGED,Agricultal,Agricultural Labourer
Agricultaral Labourer,9,Agricultaral Labourer,UNCHANGED,Agricultaral,Agricultural Labourer
Agriculturar Labourer,9,Agriculturar Labourer,STANDARD,Agriculturar,Agricultural Labourer
Agrilcultural Labourer,9,Agrilcultural Labourer,UNCHANGED,Agrilcultural,Agricultural Labourer
Attenting School,9,Attenting School,UNCHANGED,Attenting,Attending School
Car Owener,9,Car Owener,UNCHANGED,Owener,Car Owner
Carpainter,9,Carpainter,UNCHANGED,Carpainter,Carpenter
Carwoman,9,Carwoman,UNCHANGED,Carwoman,Charwoman
Cook-Domestic Svt,9,Cook Domestic Svt,NORMALIZATION,Svt,Cook Domestic St
Damisk Weaver,9,Damisk Weaver,UNCHANGED,Damisk,Damask Weaver
Domestic Sevant,9,Domestic Sevant,UNCHANGED,Sevant,Domestic Servant
Farm Servat,9,Farm Servat,UNCHANGED,Servat,Farm Servant
Flax Prepairer,9,Flax Prepairer,UNCHANGED,Prepairer,Flax Preparer
Flax Spreder,9,Flax Spreder,UNCHANGED,Spreder,Flax Spreader
Fowel Dealer,9,Fowel Dealer,UNCHANGED,Fowel,Fowl Dealer
Gass Labourer,9,Gass Labourer,UNCHANGED,Gass,Gas Labourer
General Laborur,9,General Laborur,UNCHANGED,Laborur,General Labour
General Lauborer,9,General Lauborer,UNCHANGED,Lauborer,General Labourer
Horness Maker,9,Horness Maker,UNCHANGED,Horness,Harness Maker
Hous Keeping,9,Hous Keeping,UNCHANGED,Hous,House Keeping
Infent,9,Infent,UNCHANGED,Infent,Infant
Laberour General,9,Laberour General,STANDARD,Laberour,Labour General
Labourer (Agricul),9,Labourer Agricul,NORMALIZATION,Agricul,Labourer Agric
Laibourer,9,Laibourer,UNCHANGED,Laibourer,Labourer
Linen Reller,9,Linen Reller,UNCHANGED,Reller,Linen Reeler
Machanical Engineer,9,Machanical Engineer,UNCHANGED,Machanical,Mechanical Engineer
Mechinist,9,Mechinist,UNCHANGED,Mechinist,Machinist
Millinner,9,Millinner,UNCHANGED,Millinner,Milliner
No Schollar,9,No Schollar,UNCHANGED,Schollar,No Scholar
No Schoolar,9,No Schoolar,UNCHANGED,Schoolar,No Scholar
Patern Maker,9,Patern Maker,UNCHANGED,Patern,Pattern Maker
Reller in Mill,9,Reller in Mill,UNCHANGED,Reller,Reeler in Mill
Sailar,9,Sailar,UNCHANGED,Sailar,Sailor
Scholara,9,Scholara,UNCHANGED,Scholara,Scholar
Scholear,9,Scholear,UNCHANGED,Scholear,Scholar
Scholl Girl,9,Scholl Girl,UNCHANGED,Scholl,School Girl
Scholur,9,Scholur,UNCHANGED,Scholur,Scholar
Shipright,9,Shipright,UNCHANGED,Shipright,Shipwright
Shop Assistan,9,Shop Assistan,UNCHANGED,Assistan,Shop Assistant
Tobbacco Spinner,9,Tobbacco Spinner,UNCHANGED,Tobbacco,Tobacco Spinner
Agriculteral Labourer,8,Agriculteral Labourer,UNCHANGED,Agriculteral,Agricultural Labourer
Agriculturel Labourer,8,Agriculturel Labourer,UNCHANGED,Agriculturel,Agricultural Labourer
Agriculturial Labourer,8,Agriculturial Labourer,UNCHANGED,Agriculturial,Agricultural Labourer
Anuity,8,Anuity,UNCHANGED,Anuity,Annuity
Aprentice Baker,8,Aprentice Baker,UNCHANGED,Aprentice,Apprentice Baker
Aprentice Plumber,8,Aprentice Plumber,UNCHANGED,Aprentice,Apprentice Plumber
Attending Schoole,8,Attending Schoole,UNCHANGED,Schoole,Attending School
Attinding School,8,Attinding School,UNCHANGED,Attinding,Attending School
Boilor Maker,8,Boilor Maker,UNCHANGED,Boilor,Boiler Maker
Buther,8,Buther,UNCHANGED,Buther,Butcher
Cachman,8,Cachman,UNCHANGED,Cachman,Coachman
