firstNameCap,count
CHARLOTTA,31
CHATRINE,31
CHRISTOPHR,31
CONNOLLY,31
CROHANE,31
DONAL,31
DOREAS,31
EDMAND,31
EVE,31
FREDDY,31
GEORGINE,31
HELAN,31
JANETTE,31
JANNET,31
JEMMIE,31
JESSE,31
JONNIE,31
KATES,31
LACKEY,31
MADALINE,31
MAGDALENE,31
MAGGRET,31
MARARET,31
MARGORIE,31
MARGUERITA,31
MAURIA,31
MERCY,31
MERY,31
MIKIE,31
QUINLAN,31
QUINN,31
ROS,31
SAMPSON,31
SOPHY,31
TERASA,31
THOMASENA,31
WINEFRID,31
ADALAIDE,30
ADELADE,30
AGGNESS,30
ALFORD,30
BARTH,30
BENNIE,30
CATHERIEN,30
CATHRIEN,30
DAVY,30
DOMK,30
ELLEM,30
EVALEEN,30
GAVIN,30
JEANNE,30
JERALD,30
JIMMIE,30
MAHEL,30
MARCILLA,30
MARRIE,30
MITCHELL,30
MORIAH,30
MOYA,30
SERA,30
THIMOTY,30
THO,30
ANSTATIA,29
BRIGDET,29
CHARLE,29
CHRISTFORD,29
CHRISTR,29
DENIES,29
ELIZABETT,29
EMELIE,29
EMLIE,29
FLEMING,29
HASTINGS,29
HESSY,29
HY,29
ISABLLA,29
KATHRINA,29
KEERAN,29
LIZIA,29
LLEWELLYN,29
LUSINDA,29
MAGDALEN,29
MANDE,29
MARGRETA,29
MATHILDA,29
MILLY,29
MONTGOMERY,29
MYER,29
MÁIRE,29
NIXON,29
RAPHAEL,29
SUSSANA,29
TADY,29
ALOYSINS,28
BRIGGET,28
BRIGHT,28
CALDWELL,28
CATHIRINE,28
CHARLETTE,28
CLARK,28
CUMMINS,28
DAISEY,28
DUDLY,28
ELISBETH,28
ELLENE,28
EUGEN,28
FLOURENCE,28
FRANSIS,28
HABERT,28
HERCULES,28
JAM,28
JOB,28
LANE,28
LILA,28
LILEY,28
LINNIE,28
MARGARITA,28
OBRIEN,28
OLGA,28
PATRK,28
SHAW,28
SHEEHAN,28
TIMOTY,28
WALLER,28
WARREN,28
WILLIA,28
WINEFRIDE,28
ADELAID,27
ARCHIBOLD,27
CAHERINE,27
CESSIE,27
CHARLY,27
COLUMBA,27
DELLA,27
DORTHEA,27
ELON,27
EMANUEL,27
GEOFFERY,27
HANRIETTA,27
HARRISON,27
HEDLEY,27
JAINE,27
JENIE,27
JEREMIA,27
JILEY,27
JOHM,27
JULIET,27
KATHLEAN,27
LELY,27
MIACHEL,27
MOLLEY,27
NAIL,27
NANY,27
PATRCK,27
